Name,Key1,Group1,Key2,Group2,Key3,Group3,Key4,Group4
Balloon.bmp,L,E,L,C,R,E,R,C
Barbell.bmp,R,C,L,E,L,C,R,E
BlueDress.bmp,R,E,R,C,L,E,L,C
BrownBottle.bmp,L,C,R,E,R,C,L,E
Campire.bmp,L,E,L,C,R,E,R,C
CandyCanes.bmp,R,C,L,E,L,C,R,E
Earth.bmp,R,E,R,C,L,E,L,C
Envelope.bmp,L,C,R,E,R,C,S.1,NA
Extinguisher.bmp,L,E,L,C,R,E,S.2,NA
Fence.bmp,R,C,L,E,L,C,L,E
Fork.bmp,R,E,R,C,S.1,NA,R,C
Handsaw.bmp,L,C,R,E,S.2,NA,R,E
Hydrant.bmp,L,E,L,C,L,E,L,C
IceCreamScoop.bmp,R,C,S.1,NA,R,C,L,E
IceSkates.bmp,R,E,S.2,NA,R,E,R,C
LeftArrow.bmp,L,C,L,E,L,C,R,E
Lightning.bmp,L,E,R,C,L,E,L,C
Lips.bmp,R,C,R,E,R,C,L,E
Lipstick.bmp,R,E,L,E,L,E,L,E
Matchstick.bmp,L,C,R,C,R,C,R,C
Microscope.bmp,L,E,R,E,R,E,R,E
Mouse.bmp,R,C,L,C,L,C,L,C
MushroomCloud.bmp,R,E,L,E,L,E,L,E
PaintRoller.bmp,L,C,R,C,R,C,R,C
RedCup.bmp,L,E,R,E,R,E,R,E
RedDrawers.bmp,R,C,L,C,L,C,L,C
RedWindmill.bmp,R,E,L,E,L,E,L,E
Ruler.bmp,L,C,R,C,R,C,R,C
Screwdriver.bmp,L,E,R,E,R,E,R,E
SquishedTomato.bmp,R,C,L,C,L,C,L,C
SwivelChair.bmp,R,E,L,E,L,E,L,E
WavingTree.bmp,L,C,R,C,R,C,R,C
Well.bmp,S.1,NA,R,E,R,E,R,E
Wheelbarrow.bmp,S.2,NA,L,C,L,C,L,C
