Name,Key1,Group1,Key2,Group2,Key3,Group3,Key4,Group4
BabyBear.bmp,L,C1,S4.1,NA,S3.1,NA,S2.1,NA
BlueBull.bmp,R,E1,S4.2,NA,S3.2,NA,S2.2,NA
Butterfly.bmp,R,C2,S4.3,NA,S3.3,NA,S2.3,NA
Castle.bmp,L,E2,S4.4,NA,S3.4,NA,S2.4,NA
CDPlayer.bmp,L,C3,S4.5,NA,S3.5,NA,S2.5,NA
Cigarette.bmp,R,E3,S4.6,NA,S3.6,NA,S2.6,NA
ColorfulPaint.bmp,R,C4,S4.7,NA,S3.7,NA,S2.7,NA
Drum.bmp,L,E4,S4.8,NA,S3.8,NA,S2.8,NA
FishBubble.bmp,S1.1,NA,R,C1,S4.1,NA,S3.1,NA
FlowerSheep.bmp,S1.2,NA,R,E1,S4.2,NA,S3.2,NA
FunnyFace.bmp,S1.3,NA,L,C2,S4.3,NA,S3.3,NA
GiftClown.bmp,S1.4,NA,L,E2,S4.4,NA,S3.4,NA
GoldInCovid.bmp,S1.5,NA,R,C3,S4.5,NA,S3.5,NA
HahaElephant.bmp,S1.6,NA,R,E3,S4.6,NA,S3.6,NA
HomeWithoutRoof.bmp,S1.7,NA,L,C4,S4.7,NA,S3.7,NA
Knight.bmp,S1.8,NA,L,E4,S4.8,NA,S3.8,NA
LetterMail.bmp,S2.1,NA,S1.1,NA,R,C1,S4.1,NA
Mirror.bmp,S2.2,NA,S1.2,NA,L,E1,S4.2,NA
MusicIcon.bmp,S2.3,NA,S1.3,NA,L,C2,S4.3,NA
Pepper.bmp,S2.4,NA,S1.4,NA,R,E2,S4.4,NA
PerishedHamburger.bmp,S2.5,NA,S1.5,NA,R,C3,S4.5,NA
Piano.bmp,S2.6,NA,S1.6,NA,L,E3,S4.6,NA
PinkShoes.bmp,S2.7,NA,S1.7,NA,L,C4,S4.7,NA
PoisonFrog.bmp,S2.8,NA,S1.8,NA,R,E4,S4.8,NA
RainyDay.bmp,S3.1,NA,S2.1,NA,S1.1,NA,L,C1
RegularClock.bmp,S3.2,NA,S2.2,NA,S1.2,NA,L,E1
Ring.bmp,S3.3,NA,S2.3,NA,S1.3,NA,R,C2
RockTurtle.bmp,S3.4,NA,S2.4,NA,S1.4,NA,R,E2
SchoolBus.bmp,S3.5,NA,S2.5,NA,S1.5,NA,L,C3
Shaver.bmp,S3.6,NA,S2.6,NA,S1.6,NA,L,E3
Sheep.bmp,S3.7,NA,S2.7,NA,S1.7,NA,R,C4
Snake.bmp,S3.8,NA,S2.8,NA,S1.8,NA,R,E4
Sofa.bmp,S4.1,NA,S3.1,NA,S2.1,NA,S1.1,NA
SomeBird.bmp,S4.2,NA,S3.2,NA,S2.2,NA,S1.2,NA
Squirrel.bmp,S4.3,NA,S3.3,NA,S2.3,NA,S1.3,NA
Swing.bmp,S4.4,NA,S3.4,NA,S2.4,NA,S1.4,NA
TheShining.bmp,S4.5,NA,S3.5,NA,S2.5,NA,S1.5,NA
TrafficLight.bmp,S4.6,NA,S3.6,NA,S2.6,NA,S1.6,NA
Volcano.bmp,S4.7,NA,S3.7,NA,S2.7,NA,S1.7,NA
WeirdFigure.bmp,S4.8,NA,S3.8,NA,S2.8,NA,S1.8,NA
