Name,Key1,Group1,Key2,Group2,Key3,Group3,Key4,Group4
Bells.bmp,L,E1,L,C1,R,E1,R,C1
Ant.bmp,R,C1,L,E1,L,C1,R,E1
Ashtray.bmp,R,E2,R,C2,L,E2,L,C2
Bear.bmp,L,C2,R,E2,R,C2,L,E2
Buns.bmp,L,E3,L,C3,R,E3,R,C3
Camel.bmp,R,C3,L,E3,L,C3,R,E3
Car.bmp,R,E4,R,C4,L,E4,L,C4
Cassette.bmp,L,C4,R,E4,R,C4,L,E4
Cat.bmp,L,E5,L,C5,R,E5,R,C5
Chisel.bmp,R,C5,L,E5,L,C5,R,E5
Cigar.bmp,R,E6,R,C6,L,E6,L,C6
ComboLock.bmp,L,C6,R,E6,R,C6,L,E6
Corn.bmp,L,E7,L,C7,R,E7,R,C7
Fresa.bmp,R,C7,L,E7,L,C7,R,E7
Jacket.bmp,R,E8,R,C8,L,E8,L,C8
Jars.bmp,L,C8,R,E8,R,C8,L,E8
Ladybug.bmp,S1,NA,S2,NA,S3,NA,S4,NA
Lime.bmp,S2,NA,S3,NA,S4,NA,S5,NA
PearlNecklace.bmp,S3,NA,S4,NA,S5,NA,S6,NA
Pen.bmp,S4,NA,S5,NA,S6,NA,S7,NA
SaltNPeppa.bmp,S5,NA,S6,NA,S7,NA,S8,NA
Scissors.bmp,S6,NA,S7,NA,S8,NA,S1,NA
Shelf.bmp,S7,NA,S8,NA,S1,NA,S2,NA
Tree.bmp,S8,NA,S1,NA,S2,NA,S3,NA
