Name,Key1,Group1,Key2,Group2,Key3,Group3,Key4,Group4
BananaSplit.bmp,L,C1,L,C7,R,C13,S1,NA
BoboTheClown.bmp,R,E1,L,E7,L,E13,S2,NA
ButterflyTaco.bmp,R,C2,R,C8,L,C14,S3,NA
Calendar.bmp,L,E2,R,E8,R,E14,S4,NA
Cameron.bmp,L,C3,L,C9,R,C15,S5,NA
Chicken.bmp,R,E3,L,E9,L,E15,S6,NA
CoatOfArms.bmp,R,C4,R,C10,L,C16,S7,NA
Computer.bmp,L,E4,R,E10,R,E16,S8,NA
CrazyOstrich.bmp,L,C5,L,C11,S1,NA,S9,NA
CreamyBoys.bmp,R,E5,L,E11,S2,NA,S10,NA
Crown.bmp,R,C6,R,C12,S3,NA,S11,NA
Duck.bmp,L,E6,R,E12,S4,NA,S12,NA
FilbertFrog.bmp,L,C7,L,C13,S5,NA,S13,NA
GoldfishMycroft.bmp,R,E7,L,E13,S6,NA,S14,NA
Grapes.bmp,R,C8,R,C14,S7,NA,S15,NA
HalfRainbow.bmp,L,E8,R,E14,S8,NA,S16,NA
Happy.bmp,L,C9,L,C15,S9,NA,R,C1
Helicopter.bmp,R,E9,L,E15,S10,NA,R,E1
Hippo.bmp,R,C10,R,C16,S11,NA,L,C2
HollywoodStar.bmp,L,E10,R,E16,S12,NA,L,E2
Kettle.bmp,L,C11,S2,NA,S13,NA,R,C3
MagicEight.bmp,R,E11,S3,NA,S14,NA,R,E3
MeghansFish.bmp,R,C12,S4,NA,S15,NA,L,C4
MisterBoulder.bmp,L,E12,S5,NA,S16,NA,L,E4
MisterPotatoHead.bmp,L,C13,S6,NA,R,C1,R,C5
NormalRabbit.bmp,R,E13,S7,NA,L,E1,R,E5
OlympicRings.bmp,R,C14,S8,NA,L,C2,L,C6
PaintBrushes.bmp,L,E14,S9,NA,R,E2,L,E6
PigeonNest.bmp,L,C15,S10,NA,R,C3,R,C7
Popcorn.bmp,R,E15,S11,NA,L,E3,R,E7
Rattle.bmp,R,C16,S12,NA,L,C4,L,C8
Robert.bmp,L,E16,S13,NA,R,E4,L,E8
ScaryCat.bmp,S1,NA,S14,NA,R,C5,R,C9
SillyDawg.bmp,S2,NA,S15,NA,L,E5,R,E9
SmokingFish.bmp,S3,NA,S16,NA,L,C6,L,C10
SoapBucket.bmp,S4,NA,S1,NA,R,E6,L,E10
SwagGrannyLamp.bmp,S5,NA,L,C1,R,C7,R,C11
TastyTrash.bmp,S6,NA,L,E1,L,E7,R,E11
Television.bmp,S7,NA,R,C2,L,C8,L,C12
TheGuy.bmp,S8,NA,R,E2,R,E8,L,E12
Toepher.bmp,S9,NA,L,C3,R,C9,R,C13
ToriiGate.bmp,S10,NA,L,E3,L,E9,R,E13
VacuumCleaner.bmp,S11,NA,R,C4,L,C10,L,C14
WariosOreos.bmp,S12,NA,R,E4,R,E10,L,E14
WeirdOtter.bmp,S13,NA,L,C5,R,C11,R,C15
Whistle.bmp,S14,NA,L,E5,L,E11,R,E15
Wolf.bmp,S15,NA,R,C6,L,C12,L,C16
Wombat.bmp,S16,NA,R,E6,R,E12,L,E16
